pidx,Year,Patient services,Claim lines,Paid (dollars),YoY growth (percent)
35088,2021,2065,5450,146161,283.1
35088,2022,1314,2937,115231,-21.2
35088,2023,1294,1716,24649,-78.6
35088,2024,1233,1286,32433,31.6
19958,2018,826,2353,26106,
19958,2019,2076,5837,115961,344.2
19958,2020,1543,4136,135417,16.8
19958,2021,2433,6088,200958,48.4
19958,2022,2746,6915,252567,25.7
19958,2023,3614,8171,305855,21.1
19958,2024,3449,8040,222805,-27.2
41903,2023,3587,4727,110830,
41903,2024,3750,4590,124589,12.4
19839,2020,173,905,55093,
19839,2021,1162,5966,379706,589.2
19839,2022,876,4464,263876,-30.5
19839,2023,1002,5421,316215,19.8
19839,2024,905,4708,257521,-18.6
5809,2018,36145,39922,598773,
5809,2019,29299,32595,992152,65.7
5809,2020,25423,29206,981201,-1.1
5809,2021,29697,33441,1254933,27.9
5809,2022,38669,42355,1956236,55.9
5809,2023,41565,45616,1648644,-15.7
5809,2024,33728,37141,736404,-55.3
22698,2023,229,2508,516276,
22698,2024,132,583,466136,-9.7
35478,2018,1611,1613,48270,
35478,2019,1781,1781,53430,10.7
35478,2020,1821,1828,54750,2.5
35478,2021,1832,1838,54990,0.4
35478,2022,1871,1874,56070,2.0
35478,2023,1690,1690,50700,-9.6
35478,2024,1587,1589,47490,-6.3
23208,2018,3364,10674,278208,
23208,2019,2350,7381,138813,-50.1
23208,2020,1562,4978,94919,-31.6
23208,2021,1791,5564,80237,-15.5
23208,2022,2091,6327,112258,39.9
23208,2023,3344,9209,111850,-0.4
23208,2024,2878,10713,126164,12.8
3519,2020,106,2198,927798,
3519,2021,330,8322,3526177,280.1
3519,2022,304,7506,3290869,-6.7
3519,2023,307,8090,3724060,13.2
3519,2024,259,6200,3115295,-16.3
20577,2018,320,1568,34081,
20577,2019,636,3366,71646,110.2
20577,2020,2146,8635,204612,185.6
20577,2021,3150,12072,307413,50.2
20577,2022,2398,9176,225994,-26.5
20577,2023,2581,9528,197929,-12.4
20577,2024,1456,6645,146670,-25.9
20030,2018,453,964,94094,
20030,2019,607,1463,147300,56.5
20030,2020,572,1732,169383,15.0
20030,2021,602,1425,153762,-9.2
20030,2022,669,1393,168465,9.6
20030,2023,1464,2606,299654,77.9
20030,2024,911,1783,220092,-26.6
25347,2020,639,672,12941,
25347,2021,7287,8141,148276,1045.8
25347,2022,10085,10843,222621,50.1
25347,2023,10190,11018,244368,9.8
25347,2024,6210,7084,158323,-35.2
32772,2018,227,879,60817,
32772,2019,241,1039,82737,36.0
32772,2020,145,510,38627,-53.3
32772,2021,181,792,62927,62.9
32772,2022,170,699,56726,-9.9
32772,2023,195,800,70949,25.1
32772,2024,159,756,68962,-2.8
25066,2018,2332,10031,204562,
25066,2019,2477,8272,159753,-21.9
25066,2020,2060,6064,128350,-19.7
25066,2021,2260,6511,150500,17.3
25066,2022,1052,3158,57206,-62.0
25066,2023,1205,3619,57422,0.4
25066,2024,831,2744,47686,-17.0
42519,2018,200,200,38680,
42519,2019,186,188,43838,13.3
42519,2020,156,157,29145,-33.5
42519,2021,231,240,48886,67.7
42519,2022,80,81,16523,-66.2
42519,2023,213,213,44747,170.8
42519,2024,22,22,4631,-89.7
1249,2018,47286,52564,3332007,
1249,2019,71731,79175,4983976,49.6
1249,2020,65992,73957,4690600,-5.9
1249,2021,82926,91976,6295514,34.2
1249,2022,96542,107179,7568846,20.2
1249,2023,104218,115258,7900759,4.4
1249,2024,82179,90464,6025889,-23.7
34768,2018,185,399,36195,
34768,2019,221,708,60654,67.6
34768,2020,219,764,66679,9.9
34768,2021,272,905,78411,17.6
34768,2022,263,899,79357,1.2
34768,2023,145,510,46457,-41.5
34768,2024,36,134,16708,-64.0
17371,2018,7262,12387,201634,
17371,2019,7152,12134,268363,33.1
17371,2020,5513,9299,220454,-17.9
17371,2021,6704,12190,244134,10.7
17371,2022,5795,10701,245043,0.4
17371,2023,4944,9805,198815,-18.9
17371,2024,5941,12181,250994,26.2
19783,2018,3998,4041,204213,
19783,2019,3894,3959,164061,-19.7
19783,2020,4073,4210,175120,6.7
19783,2021,3645,3732,166133,-5.1
19783,2022,3534,3602,154540,-7.0
19783,2023,3723,3751,167091,8.1
19783,2024,5271,5311,247510,48.1
14360,2018,7985,7998,143579,
14360,2019,12843,12902,257864,79.6
14360,2020,13949,14048,287642,11.5
14360,2021,17238,17272,355561,23.6
14360,2022,17645,17707,365882,2.9
14360,2023,20873,20897,445526,21.8
14360,2024,17894,17903,408367,-8.3
43594,2018,321,367,16070,
43594,2019,892,974,46816,191.3
43594,2020,1519,1613,72321,54.5
43594,2021,956,956,34153,-52.8
43594,2022,466,466,17065,-50.0
43594,2023,503,504,19865,16.4
43594,2024,134,134,4689,-76.4
12737,2018,163,163,3358,
12737,2019,3194,3902,17619,424.6
12737,2020,15262,21253,297179,1586.7
12737,2021,30044,37727,825694,177.8
12737,2022,23635,29492,684227,-17.1
12737,2023,15673,18890,415965,-39.2
12737,2024,18268,20586,523873,25.9
36918,2019,510,1947,112261,
36918,2020,883,4409,218320,94.5
47999,2018,1564,1565,32692,
47999,2019,1092,1092,16543,-49.4
47999,2020,732,757,12016,-27.4
47999,2021,1162,1185,19825,65.0
47999,2022,1322,1322,22156,11.8
47999,2023,1527,1527,22360,0.9
47999,2024,2190,2190,33823,51.3
42711,2020,382,589,10106,
42711,2021,1528,2349,60726,500.9
42711,2022,1343,2011,54214,-10.7
42711,2023,1420,2143,58936,8.7
42711,2024,966,1636,39884,-32.3
54096,2018,13,13,4361,
54096,2019,80,80,27399,528.3
54096,2020,84,85,28081,2.5
54096,2021,21,21,7397,-73.7
54096,2022,13,13,4579,-38.1
54096,2023,108,108,37256,713.6
46019,2018,4799,4844,7933,
46019,2019,4349,4396,10621,33.9
46019,2020,2817,4456,34690,226.6
46019,2021,5202,5622,23705,-31.7
46019,2022,5034,5392,26584,12.1
46019,2023,3504,3816,37406,40.7
46019,2024,2642,2802,39327,5.1
30794,2018,437,530,6558,
30794,2019,1435,1743,24058,266.8
30794,2020,2280,2577,47393,97.0
30794,2021,5177,5782,154086,225.1
30794,2022,4427,4976,129372,-16.0
30794,2023,3299,3831,92058,-28.8
30794,2024,2073,2488,58947,-36.0
1474,2018,27356,29246,4289288,
1474,2019,26112,32682,3947866,-8.0
1474,2020,37349,54715,5314164,34.6
1474,2021,41650,61773,5538757,4.2
1474,2022,37209,52543,4240064,-23.4
1474,2023,46413,66196,5992608,41.3
1474,2024,42700,59884,5593013,-6.7
26613,2020,465,478,26677,
